rpno,policyno,paydate,mode,type
C45734430101,22883061,2560,1,ULIP
C45738990101,22883172,2560,1,ULIP
C45739300101,22883185,2560,1,ULIP
C46087040101,22891879,2560,1,UL
C46156490101,22893608,2560,1,UL
C46199890101,22894370,2560,1,UL
C45903190101,22886227,2560,1,ULIP
C45919950101,22886511,2560,1,ULIP
600028290,22033581,2560,1,UL
C45995600101,22889104,2560,1,ULIP
C46008280101,22889472,2560,1,ULIP
C46106180101,22892423,2560,1,ULIP
C46106210101,22892424,2560,1,ULIP
C46106240101,22892426,2560,1,ULIP
C46106250101,22892427,2560,1,ULIP
C46438220101,22901007,2560,1,UL
C46160850101,22893680,2560,1,ULIP
C46165990101,22893800,2560,1,ULIP
C46187770101,22894086,2560,1,ULIP
C46285900101,22896115,2560,1,UL
C46287700101,22896162,2560,1,UL
C46470420101,22901946,2560,1,UL
C46532770101,22903602,2560,1,UL
C46619300101,22905664,2560,1,UL
C46698400101,22907072,2560,1,UL
C46223450101,22894899,2560,1,ULIP
C46224720101,22894941,2560,1,ULIP
C46228080101,22895039,2560,1,ULIP
C46228100101,22895041,2560,1,ULIP
C46303480101,22896489,2560,1,ULIP
C46698600101,22907082,2560,1,UL
C46410680101,22900054,2560,1,ULIP
C46453370101,22901435,2560,1,ULIP
994600102730,22757562,2560,1,UL
C46534850101,22903653,2560,1,ULIP
C46686510101,22906898,2560,1,UL
C46704140101,22907206,2560,1,UL
C46634350101,22905956,2560,1,ULIP
C46644450101,22906196,2560,1,ULIP
C46728800101,22907374,2560,1,UL
C46735020101,22907575,2560,1,UL
C46840900101,22910314,2560,1,UL
C46883590101,22911208,2560,1,UL
C47099440101,22915929,2560,1,UL
C47326850101,22918883,2560,1,UL
C47345500101,22919144,2560,1,UL
C46652280101,22906367,2560,1,ULIP
C46652300101,22906369,2560,1,ULIP
C46652360101,22906375,2560,1,ULIP
C46652380101,22906377,2560,1,ULIP
C46652450101,22906382,2560,1,ULIP
C46652500101,22906384,2560,1,ULIP
C46652780101,22906400,2560,1,ULIP
C46657300101,22906474,2560,1,ULIP
C46670050101,22906786,2560,1,ULIP
C46687150101,22906906,2560,1,ULIP
C46896000101,22911485,2560,1,UL
C47004640101,22914172,2560,1,UL
C46833200101,22910010,2560,1,ULIP
600034201,22061255,2560,1,UL
C47152680101,22916858,2560,1,UL
C46900070101,22911615,2560,1,ULIP
994600143227,22790334,2560,1,UL
C46946250101,22912730,2560,1,ULIP
C47345190101,22919126,2560,1,UL
7600313461,22061234,2560,1,UL
C47131950101,22916610,2560,1,UL
C47464200101,22918221,2560,1,UL
C47418020101,22920757,2560,1,UL
815600030469,22790438,2560,1,UL
600035807,22794887,2560,1,UL
600035809,22660206,2560,1,UL
600035880,22061231,2560,1,UL
600036010,22219381,2560,1,UL
C47221130101,22917349,2560,1,UL
C47277180101,22918064,2560,1,UL
C47466600101,22922134,2560,1,UL
600036120,22792268,2560,1,UL
838600000892,22025651,2560,1,UL
838600000893,22026635,2560,1,UL
600036587,22788852,2560,1,UL
C47109330101,22916175,2560,1,ULIP
600036842,22061249,2560,1,UL
600037264,22071656,2560,1,UL
998600151000,22793034,2560,1,UL
C47387850101,22920093,2560,1,UL
C47451720101,22921719,2560,1,UL
C47159720101,22916973,2560,1,ULIP
C47160990101,22916986,2560,1,ULIP
C47366300101,22919635,2560,1,UL
C47496060101,22922942,2560,1,UL
C47522280101,22923632,2560,1,UL
C47615920101,22926508,2560,1,UL
C47620300101,22926712,2560,1,UL
C47787390101,22930187,2560,1,UL
C47810040101,22930454,2560,1,UL
C48083720101,22937189,2560,1,UL
C47166360101,22917014,2560,1,ULIP
815600032078,22074090,2560,1,UL
C47253580101,22917739,2561,1,ULIP
C47295640101,22918347,2561,1,ULIP
C47315130101,22918685,2561,1,ULIP
994600154796,22381792,2561,1,UL
C47622780101,22926798,2561,1,ULIP
945610000004,22794439,2561,1,ULIP
945610000005,22794429,2561,1,ULIP
C47658810101,22927791,2561,1,ULIP
C47723900101,22929003,2561,1,ULIP
C48060440101,22936600,2561,1,UL
C47758590101,22929643,2561,1,ULIP
C47878000101,22931614,2561,1,UL
C48522620101,22946567,2561,1,UL
C47789580101,22930254,2561,1,ULIP
C47790750101,22930281,2561,1,ULIP
C47791740101,22930292,2561,1,ULIP
C47791810101,22930294,2561,1,ULIP
C47820270101,22930620,2561,1,ULIP
451610009424,22812604,2561,1,ULIP
C48013280101,22935525,2561,1,ULIP
C48013460101,22935529,2561,1,ULIP
945610000013,22804856,2561,1,ULIP
945610000014,22807690,2561,1,ULIP
C48068240101,22936841,2561,1,ULIP
C48644270101,22949068,2561,1,UL
451610017262,22799680,2561,1,ULIP
C48092600101,22937290,2561,1,ULIP
C48098190101,22937436,2561,1,ULIP
C48098240101,22937440,2561,1,ULIP
C48175090101,22938854,2561,1,UL
C48206850101,22939489,2561,1,UL
C48245310101,22939898,2561,1,UL
C49928770101,22978136,2561,1,UL
C48182980101,22939040,2561,1,ULIP
C48305360101,22940590,2561,1,UL
C48388010101,22943048,2561,1,UL
C48421530101,22944051,2561,1,UL
C48461890101,22945152,2561,1,UL
C48193850101,22939153,2561,1,ULIP
C48200100101,22939293,2561,1,ULIP
C48203930101,22939421,2561,1,ULIP
C48205930101,22939466,2561,1,ULIP
451610026365,22812607,2561,1,ULIP
C48325720101,22941098,2561,1,ULIP
C48616070101,22948448,2561,1,UL
945610000029,22819247,2561,1,ULIP
C48415690101,22943832,2561,1,ULIP
C48473640101,22945450,2561,1,UL
C48460920101,22945128,2561,1,ULIP
C48477740101,22945558,2561,1,ULIP
C48487850101,22945681,2561,1,ULIP
C48957450101,22955902,2561,1,UL
C48513200101,22946342,2561,1,ULIP
C48521550101,22946527,2561,1,ULIP
C48556710101,22947405,2561,1,ULIP
C48953520101,22955749,2561,1,UL
C48719100101,22949957,2561,1,UL
C48824020101,22952049,2561,1,UL
C48952950101,22955732,2561,1,UL
C48635300101,22948915,2561,1,ULIP
C48638790101,22948954,2561,1,ULIP
C48787360101,22951168,2561,1,UL
C48905900101,22954730,2561,1,UL
C48950200101,22955699,2561,1,UL
451610027842,22817830,2561,1,ULIP
C48799750101,22951588,2561,1,UL
C48857660101,22953181,2561,1,UL
C48888110101,22954151,2561,1,UL
C48931000101,22955386,2561,1,UL
C49056580101,22958159,2561,1,UL
