,applicationid,applicationno,agentid,updatedate,
,44885,620003540,0000618092,2019-06-14 20:51:43.212,
,44882,620003537,0000628351,2019-06-14 20:51:29.301,
,44881,620003536,0000221584,2019-06-14 20:51:28.826,
,44880,620003535,0000531336,2019-06-14 20:51:17.001,
,44879,620003534,0000550175,2019-06-14 20:37:52.243,
,44878,620003533,0000617126,2019-06-14 20:36:27.707,
,44877,620003532,0000694128,2019-06-14 20:30:53.181,
,44849,620003503,0000528551,2019-06-14 20:25:33.103,
,44845,620003499,0000019731,2019-06-14 20:25:27.615,
,44840,620003492,0000635982,2019-06-14 20:25:13.498,
,44828,620003481,0000617126,2019-06-14 19:31:38.292,
,44829,620003483,0000093842,2019-06-14 19:31:38.037,
,44827,620003482,0000628055,2019-06-14 19:31:34.621,
,44826,620003480,0000656809,2019-06-14 19:31:33.323,
,44825,620003479,0000027292,2019-06-14 19:31:29.482,
,44824,620003478,0000637425,2019-06-14 19:31:19.758,
,44823,620003477,0000632550,2019-06-14 19:30:53.033,
,44822,620003476,0000531336,2019-06-14 19:30:25.155,
,44821,620003475,0000617286,2019-06-14 19:30:00.022,
,44820,620003474,0000657361,2019-06-14 19:29:44.05,
,44818,620003472,0000195560,2019-06-14 19:28:53.563,
,44817,620003471,0000063555,2019-06-14 19:28:44.538,
,44814,620003468,0000108027,2019-06-14 19:28:37.22,
,44813,620003467,0000658348,2019-06-14 19:28:34.55,
,44815,620003464,0000521318,2019-06-14 19:28:32.657,
,44811,620003465,0000221584,2019-06-14 19:28:30.74,
,44809,620003466,0000653699,2019-06-14 19:28:30.192,
,44810,620003462,0000661322,2019-06-14 19:28:30.086,
,44812,620003469,0000016423,2019-06-14 19:28:30.044,
,44808,620003463,0000642039,2019-06-14 19:28:27.687,
,44807,620003461,0000016764,2019-06-14 19:28:25.175,
,44806,620003460,0000012552,2019-06-14 19:28:18.346,
,44805,620003459,0000626671,2019-06-14 19:28:16.273,
,44804,620003458,0000628351,2019-06-14 19:28:16.09,
,44803,620003457,0000006921,2019-06-14 19:28:11.963,
,44800,620003454,0000017627,2019-06-14 19:28:07.249,
,44802,620003456,0000573403,2019-06-14 19:28:05.383,
,44801,620003455,0000019731,2019-06-14 19:28:03.652,
,44799,620003452,0000005057,2019-06-14 19:27:57.773,
,44798,620003453,0000550175,2019-06-14 19:27:55.609,
,44796,620003450,0000631481,2019-06-14 19:27:54.946,
,44795,620003448,0000015545,2019-06-14 19:27:52.657,
,44794,620003449,0000337497,2019-06-14 19:27:47.175,
,44793,620003445,0000072616,2019-06-14 19:27:46.926,
,44792,620003447,0000550124,2019-06-14 19:27:46.345,
,44791,620003446,0000618092,2019-06-14 19:27:45.113,
,44790,620003444,0000694128,2019-06-14 19:27:26.811,
,44789,620003443,0000016970,2019-06-14 19:26:41.79,
,44788,620003440,0000003868,2019-06-14 19:17:09.163,
,44786,620003441,0000164149,2019-06-14 19:17:06.781,
,44784,620003438,0000508962,2019-06-14 19:17:05.471,
,44783,620003439,0000632628,2019-06-14 19:17:03.225,
,44785,620003437,0000528551,2019-06-14 19:17:02.191,
,44782,620003436,0000644355,2019-06-14 19:16:58.091,
,44781,620003435,0000564143,2019-06-14 19:13:45.912,
,44780,620003434,0000635982,2019-06-14 19:05:21.442,
,44768,620003405,0000617286,2019-06-14 19:02:03.444,
,44769,620003408,0000658348,2019-06-14 19:02:02.592,
,44752,620003413,0000637425,2019-06-14 19:01:36.954,
,44738,620003382,0000019731,2019-06-14 07:25:45.8,
,44734,620003379,0000550175,2019-06-14 07:25:39.567,
,44736,620003381,0000644355,2019-06-14 07:25:38.314,
,44737,620003383,0000528551,2019-06-14 07:25:38.149,
,44735,620003380,0000072616,2019-06-14 07:25:36.326,
,44733,620003378,0000016423,2019-06-14 07:25:33.492,
,44732,620003377,0000658348,2019-06-14 07:25:31.037,
,44731,620003376,0000508962,2019-06-14 07:25:29.043,
,44730,620003375,0000016764,2019-06-14 07:25:15.366,
,44729,620003374,0000521318,2019-06-14 07:25:03.902,
,44727,620003372,0000661322,2019-06-14 07:24:43.318,
,44726,620003371,0000003868,2019-06-14 07:23:27.659,
,44725,620003370,0000628351,2019-06-14 07:23:17.396,
,44724,620003369,0000632550,2019-06-14 07:23:16.419,
,44723,620003368,0000550124,2019-06-14 07:23:05.821,
,44722,620003366,0000108027,2019-06-14 07:22:35.984,
,44721,620003367,0000573403,2019-06-14 07:22:33.031,
,44720,620003365,0000017627,2019-06-14 07:22:32.394,
,44718,620003359,0000694128,2019-06-14 07:22:30.821,
,44715,620003360,0000564143,2019-06-14 07:22:26.948,
,44714,620003362,0000642039,2019-06-14 07:22:26.556,
,44717,620003364,0000337497,2019-06-14 07:22:26.436,
,44716,620003361,0000006921,2019-06-14 07:22:26.087,
,44711,620003356,0000631481,2019-06-14 07:22:22.561,
,44713,620003357,0000656809,2019-06-14 07:22:21.351,
,44710,620003354,0000012552,2019-06-14 07:22:19.587,
,44712,620003358,0000626671,2019-06-14 07:22:19.413,
,44708,620003353,0000164149,2019-06-14 07:22:18.625,
,44709,620003355,0000628055,2019-06-14 07:22:16.685,
,44706,620003352,0000617286,2019-06-14 07:22:13.41,
,44705,620003349,0000015545,2019-06-14 07:22:04.386,
,44701,620003347,0000617126,2019-06-14 07:22:02.274,
,44704,620003350,0000016970,2019-06-14 07:22:00.424,
,44703,620003348,0000632628,2019-06-14 07:22:00.11,
,44702,620003346,0000618092,2019-06-14 07:21:58.269,
,44700,620003345,0000093842,2019-06-14 07:21:54.149,
,44699,620003344,0000195560,2019-06-14 07:21:53.886,
,44698,620003343,0000531336,2019-06-14 07:21:49.871,
,44696,620003341,0000653699,2019-06-14 07:21:45.445,
,44697,620003342,0000063555,2019-06-14 07:21:44.459,
,44693,620003339,0000221584,2019-06-14 07:21:33.501,
,44694,620003337,0000635982,2019-06-14 07:21:33.45,
,44692,620003338,0000637425,2019-06-14 07:21:32.642,
,44691,620003336,0000657361,2019-06-14 07:07:14.17,
,44690,620003335,0000027292,2019-06-14 07:06:31.984,
,44689,620003334,0000005057,2019-06-14 07:00:24.927,
,44661,620003305,0000195560,2019-06-14 06:55:39.997,
,44660,620003304,0000661322,2019-06-14 06:55:38.894,
,44662,620003306,0000093842,2019-06-14 06:55:36.495,
,44641,620003284,0000195560,2019-06-14 05:55:21.31,
,44640,620003285,0000653699,2019-06-14 05:55:20.946,
,44639,620003283,0000012552,2019-06-14 05:55:15.605,
,44638,620003282,0000093842,2019-06-14 05:54:44.232,
,44637,620003281,0000626671,2019-06-14 05:54:17.977,
,44636,620003280,0000628351,2019-06-14 05:53:43.952,
,44635,620003278,0000694128,2019-06-14 05:53:40.708,
,44634,620003279,0000637425,2019-06-14 05:53:40.389,
,44633,620003277,0000003868,2019-06-14 05:53:27.57,
,44632,620003276,0000618092,2019-06-14 05:53:11.717,
,44630,620003274,0000617126,2019-06-14 05:52:41.206,
,44629,620003273,0000005057,2019-06-14 05:52:39.3,
,44628,620003272,0000164149,2019-06-14 05:52:27.751,
,44627,620003270,0000631481,2019-06-14 05:52:25.443,
,44626,620003271,0000017627,2019-06-14 05:52:22.675,
,44625,620003269,0000108027,2019-06-14 05:52:22.346,
,44624,620003268,0000337497,2019-06-14 05:52:20.097,
,44622,620003266,0000221584,2019-06-14 05:52:16.091,
,44623,620003267,0000531336,2019-06-14 05:52:13.34,
,44620,620003264,0000521318,2019-06-14 05:52:03.034,
,44619,620003263,0000027292,2019-06-14 05:52:01.495,
,44618,620003262,0000661322,2019-06-14 05:52:00.281,
,44617,620003258,0000016970,2019-06-14 05:51:57.785,
,44616,620003261,0000617286,2019-06-14 05:51:57.539,
,44615,620003260,0000564143,2019-06-14 05:51:56.963,
,44612,620003253,0000658348,2019-06-14 05:51:53.9,
,44614,620003259,0000635982,2019-06-14 05:51:51.822,
,44610,620003256,0000632550,2019-06-14 05:51:50.874,
,44611,620003257,0000656809,2019-06-14 05:51:50.602,
,44613,620003254,0000642039,2019-06-14 05:51:50.472,
,44608,620003252,0000015545,2019-06-14 05:51:46.378,
,44607,620003250,0000628055,2019-06-14 05:51:45.64,
,44606,620003251,0000016764,2019-06-14 05:51:39.927,
,44605,620003249,0000573403,2019-06-14 05:51:38.313,
,44604,620003248,0000550175,2019-06-14 05:51:37.716,
,44603,620003246,0000644355,2019-06-14 05:51:35.897,
,44602,620003247,0000019731,2019-06-14 05:51:32.44,
,44600,620003244,0000006921,2019-06-14 05:51:31.495,
,44601,620003245,0000632628,2019-06-14 05:51:30.518,
,44598,620003241,0000550124,2019-06-14 05:51:27.531,
,44597,620003242,0000016423,2019-06-14 05:51:23.023,
,44596,620003240,0000072616,2019-06-14 05:51:12.314,
,44595,620003239,0000528551,2019-06-14 05:37:52.306,
,44594,620003238,0000508962,2019-06-14 05:33:40.64,
,44593,620003237,0000657361,2019-06-14 05:30:40.979,
,44567,620003210,0000550175,2019-06-14 05:25:26.734,
,44565,620003208,0000658348,2019-06-14 05:25:25.248,
,44556,620003199,0000653699,2019-06-14 05:25:08.459,
,44545,620003189,0000164149,2019-06-14 04:25:30.183,
,44544,620003188,0000016423,2019-06-14 04:25:21.03,
,44543,620003186,0000564143,2019-06-14 04:25:08.057,
,44542,620003187,0000637425,2019-06-14 04:25:02.93,
,44541,620003185,0000657361,2019-06-14 04:23:23.299,
,44540,620003184,0000528551,2019-06-14 04:23:16.992,
,44539,620003183,0000012552,2019-06-14 04:23:13.897,
,44538,620003182,0000631481,2019-06-14 04:22:59.01,
,44536,620003179,0000221584,2019-06-14 04:22:31.154,
,44537,620003181,0000628351,2019-06-14 04:22:29.709,
,44533,620003177,0000642039,2019-06-14 04:22:27.34,
,44532,620003175,0000658348,2019-06-14 04:22:27.266,
,44535,620003178,0000508962,2019-06-14 04:22:27.213,
,44531,620003173,0000017627,2019-06-14 04:22:24.001,
,44527,620003171,0000063555,2019-06-14 04:22:21.244,
,44529,620003174,0000628055,2019-06-14 04:22:21.127,
,44530,620003176,0000521318,2019-06-14 04:22:19.25,
,44528,620003172,0000006921,2019-06-14 04:22:18.723,
,44525,620003168,0000093842,2019-06-14 04:22:18.062,
,44526,620003170,0000016970,2019-06-14 04:22:15.734,
,44521,620003165,0000550124,2019-06-14 04:22:13.989,
,44523,620003167,0000656809,2019-06-14 04:22:13.33,
,44520,620003164,0000573403,2019-06-14 04:22:09.36,
,44522,620003166,0000337497,2019-06-14 04:22:08.551,
,44516,620003161,0000531336,2019-06-14 04:22:07.719,
,44519,620003162,0000005057,2019-06-14 04:22:06.874,
,44517,620003163,0000661322,2019-06-14 04:22:04.182,
,44515,620003158,0000618092,2019-06-14 04:22:01.213,
,44514,620003160,0000108027,2019-06-14 04:22:00.533,
,44513,620003157,0000072616,2019-06-14 04:21:56.227,
,44511,620003155,0000027292,2019-06-14 04:21:55.961,
,44512,620003156,0000003868,2019-06-14 04:21:55.064,
,44508,620003151,0000653699,2019-06-14 04:21:50.455,
,44510,620003152,0000617286,2019-06-14 04:21:49.006,
,44507,620003150,0000617126,2019-06-14 04:21:46.726,
,44509,620003153,0000694128,2019-06-14 04:21:45.703,
,44505,620003148,0000626671,2019-06-14 04:21:35.121,
,44504,620003147,0000195560,2019-06-14 04:21:31.33,
,44503,620003146,0000644355,2019-06-14 04:21:13.283,
,44502,620003145,0000635982,2019-06-14 04:21:06.863,
,44501,620003144,0000016764,2019-06-14 04:07:29.752,
,44500,620003143,0000632628,2019-06-14 04:06:27.932,
,44499,620003142,0000632550,2019-06-14 04:06:23.784,
,44498,620003141,0000550175,2019-06-14 04:00:17.805,
,44468,620003109,0000016970,2019-06-14 03:55:37.3,
,44466,620003105,0000631481,2019-06-14 03:55:33.314,
,44464,620003106,0000337497,2019-06-14 03:55:26.573,
,44451,620003092,0000337497,2019-06-14 02:54:50.35,
,44450,620003091,0000618092,2019-06-14 02:53:40.993,
,44449,620003090,0000164149,2019-06-14 02:53:36.298,
,44448,620003089,0000635982,2019-06-14 02:53:27.918,
,44447,620003088,0000528551,2019-06-14 02:53:15.34,
,44446,620003086,0000637425,2019-06-14 02:52:36.811,
,44445,620003087,0000626671,2019-06-14 02:52:35.782,
,44443,620003081,0000632628,2019-06-14 02:52:33.319,
,44440,620003084,0000550175,2019-06-14 02:52:32.283,
,44439,620003079,0000003868,2019-06-14 02:52:28.652,
,44441,620003083,0000642039,2019-06-14 02:52:28.628,
,44442,620003085,0000694128,2019-06-14 02:52:28.615,
,44438,620003080,0000063555,2019-06-14 02:52:25.944,
,44437,620003078,0000632550,2019-06-14 02:52:23.785,
,44436,620003077,0000657361,2019-06-14 02:52:18.677,
,44435,620003073,0000644355,2019-06-14 02:52:17.863,
,44433,620003076,0000016764,2019-06-14 02:52:13.219,
,44432,620003075,0000015545,2019-06-14 02:52:12.787,
,44431,620003070,0000005057,2019-06-14 02:52:11.885,
,44434,620003071,0000016423,2019-06-14 02:52:10.58,
,44428,620003069,0000108027,2019-06-14 02:52:06.3,
,44429,620003074,0000661322,2019-06-14 02:52:04.906,
,44427,620003068,0000550124,2019-06-14 02:52:02.263,
,44426,620003067,0000617126,2019-06-14 02:52:00.414,
,44425,620003065,0000656809,2019-06-14 02:51:59.562,
,44423,620003064,0000628055,2019-06-14 02:51:58.579,
,44422,620003062,0000006921,2019-06-14 02:51:55.988,
,44424,620003066,0000012552,2019-06-14 02:51:55.663,
,44419,620003060,0000016970,2019-06-14 02:51:53.123,
,44421,620003063,0000017627,2019-06-14 02:51:52.115,
,44418,620003059,0000019731,2019-06-14 02:51:47.505,
,44417,620003058,0000027292,2019-06-14 02:51:43.521,
,44416,620003057,0000072616,2019-06-14 02:51:39.49,
,44415,620003056,0000631481,2019-06-14 02:51:34.823,
,44414,620003055,0000617286,2019-06-14 02:51:34.668,
,44413,620003054,0000658348,2019-06-14 02:51:23.384,
,44411,620003053,0000628351,2019-06-14 02:51:23.383,
,44412,620003052,0000093842,2019-06-14 02:51:21.957,
,44410,620003051,0000521318,2019-06-14 02:51:17.83,
,44408,620003050,0000221584,2019-06-14 02:51:08.278,
,44407,620003048,0000573403,2019-06-14 02:51:03.161,
,44406,620003047,0000564143,2019-06-14 02:37:51.305,
,44405,620003046,0000531336,2019-06-14 02:36:35.078,
,44404,620003045,0000653699,2019-06-14 02:36:16.735,
,44403,620003044,0000508962,2019-06-14 02:34:26.105,
,44402,620003043,0000195560,2019-06-14 02:31:18.988,
,44379,620003015,0000016423,2019-06-14 02:25:38.312,
,44382,620003019,0000108027,2019-06-14 02:25:36.527,
,44375,620003014,0000618092,2019-06-14 02:25:33.495,
,44356,620002995,0000632550,2019-06-14 01:24:08.952,
,44355,620002994,0000635982,2019-06-14 01:23:00.164,
,44354,620002993,0000617126,2019-06-14 01:22:52.171,
,44350,620002990,0000521318,2019-06-14 01:22:40.652,
,44352,620002989,0000003868,2019-06-14 01:22:39.562,
,44349,620002987,0000531336,2019-06-14 01:22:39.478,
,44353,620002988,0000012552,2019-06-14 01:22:37.237,
,44351,620002991,0000658348,2019-06-14 01:22:36.854,
,44346,620002984,0000618092,2019-06-14 01:22:36.316,
,44348,620002986,0000063555,2019-06-14 01:22:36.187,
,44345,620002983,0000573403,2019-06-14 01:22:32.308,
,44344,620002982,0000644355,2019-06-14 01:22:31.736,
,44341,620002978,0000006921,2019-06-14 01:22:28.238,
,44342,620002980,0000016764,2019-06-14 01:22:27.835,
,44343,620002981,0000632628,2019-06-14 01:22:27.091,
,44339,620002977,0000027292,2019-06-14 01:22:24.833,
,44340,620002979,0000637425,2019-06-14 01:22:23.577,
,44335,620002973,0000221584,2019-06-14 01:22:21.645,
,44338,620002976,0000072616,2019-06-14 01:22:20.861,
,44336,620002974,0000017627,2019-06-14 01:22:19.495,
,44333,620002971,0000016970,2019-06-14 01:22:16.326,
,44334,620002972,0000617286,2019-06-14 01:22:15.107,
,44332,620002970,0000631481,2019-06-14 01:22:14.856,
,44330,620002968,0000005057,2019-06-14 01:22:11.433,
,44329,620002967,0000661322,2019-06-14 01:22:09.989,
,44331,620002969,0000656809,2019-06-14 01:22:09.818,
,44328,620002966,0000164149,2019-06-14 01:22:09.136,
,44325,620002962,0000016423,2019-06-14 01:22:05.038,
,44327,620002965,0000550124,2019-06-14 01:22:02.847,
,44324,620002963,0000528551,2019-06-14 01:22:00.218,
,44322,620002961,0000015545,2019-06-14 01:21:57.771,
,44323,620002960,0000642039,2019-06-14 01:21:55.846,
,44321,620002959,0000626671,2019-06-14 01:21:47.305,
,44320,620002954,0000694128,2019-06-14 01:21:45.092,
,44319,620002958,0000628055,2019-06-14 01:21:42.349,
,44317,620002956,0000195560,2019-06-14 01:21:37.954,
,44316,620002955,0000508962,2019-06-14 01:21:36.73,
,44315,620002953,0000550175,2019-06-14 01:21:33.493,
,44314,620002952,0000653699,2019-06-14 01:21:27.526,
,44312,620002950,0000093842,2019-06-14 01:21:21.517,
,44313,620002951,0000628351,2019-06-14 01:21:19.915,
,44311,620002949,0000337497,2019-06-14 01:21:16.626,
,44310,620002948,0000019731,2019-06-14 01:21:11.376,
,44309,620002947,0000108027,2019-06-14 01:07:33.217,
,44308,620002946,0000657361,2019-06-14 01:01:21.251,
,44295,620002931,0000573403,2019-06-14 00:55:49.274,
,44279,620002918,0000564143,2019-06-14 00:55:28.291,
,34769,610009505,0000009863,2019-06-14 00:55:15.582,
,44269,620002907,0000531336,2019-06-14 00:55:11.905,
,44259,620002897,0000019731,2019-06-13 23:55:41.963,
,44258,620002896,0000521318,2019-06-13 23:53:50.37,
,44257,620002895,0000628055,2019-06-13 23:52:45.779,
,44256,620002894,0000337497,2019-06-13 23:52:41.195,
,44255,620002891,0000661322,2019-06-13 23:52:40.046,
,44254,620002893,0000632550,2019-06-13 23:52:39.051,
,44253,620002892,0000027292,2019-06-13 23:52:33.488,
,44251,620002889,0000508962,2019-06-13 23:52:29.316,
,44249,620002888,0000635982,2019-06-13 23:52:27.077,
,44250,620002890,0000628351,2019-06-13 23:52:25.617,
,44248,620002884,0000006921,2019-06-13 23:52:25.332,
,44244,620002885,0000656809,2019-06-13 23:52:24.016,
,44243,620002882,0000644355,2019-06-13 23:52:22.564,
,44247,620002877,0000016423,2019-06-13 23:52:21.826,
,44246,620002886,0000531336,2019-06-13 23:52:21.42,
,44245,620002883,0000694128,2019-06-13 23:52:21.175,
,44238,620002880,0000642039,2019-06-13 23:52:20.191,
,44241,620002881,0000564143,2019-06-13 23:52:20.161,
,44239,620002879,0000528551,2019-06-13 23:52:19.161,
,44240,620002875,0000017627,2019-06-13 23:52:18.196,
,44237,620002878,0000617126,2019-06-13 23:52:17.181,
,44236,620002874,0000573403,2019-06-13 23:52:13.204,
,44235,620002872,0000626671,2019-06-13 23:52:06.436,
,44234,620002873,0000108027,2019-06-13 23:52:02.49,
,44233,620002871,0000617286,2019-06-13 23:52:00.629,
,44232,620002870,0000016970,2019-06-13 23:51:59.183,
,44230,620002868,0000653699,2019-06-13 23:51:56.558,
,44228,620002865,0000015545,2019-06-13 23:51:53.146,
,44231,620002869,0000631481,2019-06-13 23:51:52.577,
,44226,620002863,0000072616,2019-06-13 23:51:50.77,
,44229,620002867,0000005057,2019-06-13 23:51:50.593,
,44225,620002864,0000164149,2019-06-13 23:51:50.48,
,44224,620002862,0000550175,2019-06-13 23:51:46.929,
,44222,620002861,0000016764,2019-06-13 23:51:46.299,
,44221,620002859,0000637425,2019-06-13 23:51:40.3,
,44220,620002858,0000657361,2019-06-13 23:51:39.561,
,44219,620002855,0000221584,2019-06-13 23:51:38.57,
,44217,620002856,0000195560,2019-06-13 23:51:36.725,
,44218,620002857,0000618092,2019-06-13 23:51:35.271,
,44216,620002854,0000003868,2019-06-13 23:51:29.63,
,44215,620002852,0000063555,2019-06-13 23:51:18.148,
,44214,620002853,0000550124,2019-06-13 23:51:17.969,
,44213,620002851,0000658348,2019-06-13 23:51:15.879,
,44212,620002850,0000093842,2019-06-13 23:51:10.072,
,44211,620002849,0000632628,2019-06-13 23:37:59.136,
,44210,620002848,0000012552,2019-06-13 23:30:29.548,
,42169,620000764,0000632550,2019-06-13 23:30:25.998,
,42257,620000850,0000632550,2019-06-13 23:30:25.988,
,42275,620000869,0000632550,2019-06-13 23:30:25.978,
,42340,620000936,0000632550,2019-06-13 23:30:25.968,
,42457,620001059,0000632550,2019-06-13 23:30:25.958,
,42539,620001141,0000632550,2019-06-13 23:30:25.948,
,42632,620001236,0000632550,2019-06-13 23:30:25.939,
,42705,620001311,0000632550,2019-06-13 23:30:25.93,
,42808,620001415,0000632550,2019-06-13 23:30:25.921,
,42890,620001499,0000632550,2019-06-13 23:30:25.912,
,43021,620001632,0000632550,2019-06-13 23:30:25.9,
,43098,620001710,0000632550,2019-06-13 23:30:25.889,
,43198,620001812,0000632550,2019-06-13 23:30:25.88,
,43320,620001940,0000632550,2019-06-13 23:30:25.872,
,43384,620002007,0000632550,2019-06-13 23:30:25.864,
,43482,620002108,0000632550,2019-06-13 23:30:25.856,
,43526,620002155,0000632550,2019-06-13 23:30:25.849,
,43600,620002228,0000632550,2019-06-13 23:30:25.841,
,43686,620002315,0000632550,2019-06-13 23:30:25.834,
,43766,620002395,0000632550,2019-06-13 23:30:25.827,
,43874,620002503,0000632550,2019-06-13 23:30:25.82,
,43990,620002621,0000632550,2019-06-13 23:30:25.813,
,42219,620000812,0000015036,2019-06-13 23:25:57.137,
,42305,620000899,0000015036,2019-06-13 23:25:57.129,
,42562,620001165,0000015036,2019-06-13 23:25:57.117,
,42684,620001290,0000015036,2019-06-13 23:25:57.109,
,42768,620001375,0000015036,2019-06-13 23:25:57.101,
,42867,620001473,0000015036,2019-06-13 23:25:57.099,
,43184,620001797,0000015036,2019-06-13 23:25:57.093,
,43244,620001865,0000015036,2019-06-13 23:25:57.085,
,43340,620001961,0000015036,2019-06-13 23:25:57.081,
,43531,620002160,0000015036,2019-06-13 23:25:57.069,
,43625,620002256,0000015036,2019-06-13 23:25:57.06,
,43735,620002367,0000015036,2019-06-13 23:25:57.047,
,43782,620002411,0000015036,2019-06-13 23:25:57.045,
,44039,620002672,0000015036,2019-06-13 23:25:57.025,
,43042,620001653,0000015036,2019-06-13 23:25:57.021,
,42392,620000991,0000015036,2019-06-13 23:25:57.013,
,44185,620002825,0000017627,2019-06-13 23:25:37.195,
,44183,620002822,0000573403,2019-06-13 23:25:32.592,
,44173,620002810,0000164149,2019-06-13 23:25:17.641,
,42155,620000748,0000016764,2019-06-13 22:25:53.195,
,42230,620000821,0000016764,2019-06-13 22:25:53.194,
,42345,620000943,0000016764,2019-06-13 22:25:53.193,
,42435,620001035,0000016764,2019-06-13 22:25:53.193,
,42516,620001119,0000016764,2019-06-13 22:25:53.192,
,42724,620001329,0000016764,2019-06-13 22:25:53.191,
,42605,620001209,0000016764,2019-06-13 22:25:53.191,
,42798,620001405,0000016764,2019-06-13 22:25:53.19,
,42935,620001544,0000016764,2019-06-13 22:25:53.19,
,42992,620001603,0000016764,2019-06-13 22:25:53.189,
,43212,620001827,0000016764,2019-06-13 22:25:53.188,
,43128,620001741,0000016764,2019-06-13 22:25:53.188,
,43316,620001935,0000016764,2019-06-13 22:25:53.187,
,43380,620002001,0000016764,2019-06-13 22:25:53.186,
,43467,620002093,0000016764,2019-06-13 22:25:53.186,
,43571,620002199,0000016764,2019-06-13 22:25:53.185,
,43800,620002429,0000016764,2019-06-13 22:25:53.184,
,43659,620002288,0000016764,2019-06-13 22:25:53.184,
,43806,620002437,0000016764,2019-06-13 22:25:53.183,
,43878,620002507,0000016764,2019-06-13 22:25:53.182,
,43989,620002622,0000016764,2019-06-13 22:25:53.182,
,44161,620002799,0000016764,2019-06-13 22:25:52.829,
,42266,620000859,0000694128,2019-06-13 22:25:51.172,
,42331,620000927,0000694128,2019-06-13 22:25:51.171,
,42423,620001024,0000694128,2019-06-13 22:25:51.171,
,42555,620001158,0000694128,2019-06-13 22:25:51.17,
,42723,620001328,0000694128,2019-06-13 22:25:51.169,
,42624,620001229,0000694128,2019-06-13 22:25:51.169,
,42838,620001446,0000694128,2019-06-13 22:25:51.168,
,43018,620001630,0000694128,2019-06-13 22:25:51.167,
,42909,620001518,0000694128,2019-06-13 22:25:51.167,
,43120,620001733,0000694128,2019-06-13 22:25:51.166,
,43317,620001937,0000694128,2019-06-13 22:25:51.165,
,43182,620001796,0000694128,2019-06-13 22:25:51.165,
,43369,620001992,0000694128,2019-06-13 22:25:51.164,
,43484,620002110,0000694128,2019-06-13 22:25:51.163,
,43608,620002236,0000694128,2019-06-13 22:25:51.162,
,43702,620002331,0000694128,2019-06-13 22:25:51.161,
,43895,620002526,0000694128,2019-06-13 22:25:51.16,
,43791,620002421,0000694128,2019-06-13 22:25:51.16,
,43973,620002604,0000694128,2019-06-13 22:25:51.159,
,44160,620002797,0000694128,2019-06-13 22:25:50.776,
,42252,620000844,0000521318,2019-06-13 22:25:47.067,
,42145,620000737,0000521318,2019-06-13 22:25:47.067,
,42330,620000928,0000521318,2019-06-13 22:25:47.066,
,42551,620001154,0000521318,2019-06-13 22:25:47.065,
,42143,620000734,0000573403,2019-06-13 22:25:47.065,
,42456,620001057,0000521318,2019-06-13 22:25:47.065,
,42233,620000826,0000573403,2019-06-13 22:25:47.064,
,42356,620000954,0000573403,2019-06-13 22:25:47.064,
,42616,620001218,0000521318,2019-06-13 22:25:47.064,
,42412,620001012,0000573403,2019-06-13 22:25:47.063,
,42831,620001438,0000521318,2019-06-13 22:25:47.063,
,42708,620001313,0000521318,2019-06-13 22:25:47.063,
,42619,620001222,0000573403,2019-06-13 22:25:47.062,
,42945,620001553,0000521318,2019-06-13 22:25:47.062,
,42546,620001149,0000573403,2019-06-13 22:25:47.062,
,42891,620001500,0000521318,2019-06-13 22:25:47.062,
,42713,620001318,0000573403,2019-06-13 22:25:47.061,
,43023,620001633,0000521318,2019-06-13 22:25:47.061,
,42911,620001522,0000573403,2019-06-13 22:25:47.06,
,43129,620001742,0000521318,2019-06-13 22:25:47.06,
,42800,620001409,0000573403,2019-06-13 22:25:47.06,
,43319,620001938,0000521318,2019-06-13 22:25:47.059,
,42986,620001597,0000573403,2019-06-13 22:25:47.059,
,43383,620002006,0000521318,2019-06-13 22:25:47.059,
,43086,620001699,0000573403,2019-06-13 22:25:47.058,
,43475,620002105,0000521318,2019-06-13 22:25:47.058,
,43582,620002210,0000521318,2019-06-13 22:25:47.057,
,43194,620001809,0000573403,2019-06-13 22:25:47.057,
,43295,620001914,0000573403,2019-06-13 22:25:47.056,
,43699,620002329,0000521318,2019-06-13 22:25:47.056,
,43410,620002033,0000573403,2019-06-13 22:25:47.055,
,43760,620002389,0000521318,2019-06-13 22:25:47.055,
,43493,620002120,0000573403,2019-06-13 22:25:47.055,
,43876,620002504,0000521318,2019-06-13 22:25:47.054,
,43563,620002191,0000573403,2019-06-13 22:25:47.054,
,43970,620002601,0000521318,2019-06-13 22:25:47.053,
,43687,620002316,0000573403,2019-06-13 22:25:47.053,
,44053,620002686,0000521318,2019-06-13 22:25:47.052,
,43762,620002392,0000573403,2019-06-13 22:25:47.052,
,43883,620002512,0000573403,2019-06-13 22:25:47.051,
,43967,620002599,0000573403,2019-06-13 22:25:47.05,
,44059,620002692,0000573403,2019-06-13 22:25:47.047,
,44157,620002794,0000521318,2019-06-13 22:25:46.681,
,44159,620002798,0000573403,2019-06-13 22:25:46.661,
,42157,620000747,0000027292,2019-06-13 22:25:45.14,
,42254,620000846,0000027292,2019-06-13 22:25:45.139,
,42328,620000925,0000027292,2019-06-13 22:25:45.135,
,42506,620001109,0000027292,2019-06-13 22:25:45.134,
,42612,620001216,0000027292,2019-06-13 22:25:45.134,
,42700,620001305,0000027292,2019-06-13 22:25:45.13,
,42823,620001431,0000027292,2019-06-13 22:25:45.129,
,42988,620001599,0000027292,2019-06-13 22:25:45.128,
