,applicationid,applicationno,agentid,updatedate,
,46352,620005027,0000093842,2019-06-15 20:52:41.968,
,46351,620005024,0000618092,2019-06-15 20:52:40.379,
,46350,620005023,0000550175,2019-06-15 20:52:38.191,
,46349,620005022,0000626671,2019-06-15 20:52:32.459,
,46347,620005018,0000063555,2019-06-15 20:52:30.1,
,46346,620005017,0000628055,2019-06-15 20:52:28.798,
,46345,620005020,0000027292,2019-06-15 20:52:27.674,
,46344,620005015,0000016423,2019-06-15 20:52:27.379,
,46343,620005014,0000164149,2019-06-15 20:52:24.339,
,46341,620005009,0000632628,2019-06-15 20:52:16.046,
,46342,620005013,0000632550,2019-06-15 20:52:15.733,
,46340,620005012,0000508962,2019-06-15 20:52:15.036,
,46339,620005011,0000637425,2019-06-15 20:52:13.763,
,46338,620005010,0000019731,2019-06-15 20:52:11.842,
,46336,620005007,0000661322,2019-06-15 20:52:06.251,
,46335,620005005,0000006921,2019-06-15 20:52:04.526,
,46334,620005006,0000337497,2019-06-15 20:52:03.182,
,46333,620005004,0000016970,2019-06-15 20:51:58.317,
,46331,620005002,0000653699,2019-06-15 20:51:54.32,
,46332,620005003,0000016764,2019-06-15 20:51:53.921,
,46330,620005001,0000003868,2019-06-15 20:51:43.432,
,46329,620005000,0000221584,2019-06-15 20:51:42.41,
,46328,620004998,0000573403,2019-06-15 20:51:36.473,
,46326,620004997,0000617286,2019-06-15 20:51:32.571,
,46325,620004996,0000635982,2019-06-15 20:51:26.327,
,46324,620004995,0000657361,2019-06-15 20:37:16.475,
,46323,620004994,0000531336,2019-06-15 20:36:38.208,
,46322,620004993,0000628351,2019-06-15 20:30:44.276,
,46291,620004960,0000221584,2019-06-15 20:25:35.863,
,46288,620004957,0000528551,2019-06-15 20:25:28.234,
,46286,620004955,0000063555,2019-06-15 20:25:20.582,
,46274,620004944,0000005057,2019-06-15 19:25:57.417,
,46273,620004943,0000195560,2019-06-15 19:25:56.936,
,46271,620004940,0000644355,2019-06-15 19:25:56.668,
