Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
CUS-23_receiptDetail,14659,12478,0,120149,36585.47,10.199%,4.02763,4.27,2.32,1084.6
CUS-21_SearchByCustomerRef,14659,209,0,5241,184.61,0.027%,4.16656,5.91,2.54,1451.5
CUS-25_searchByNextPremiumSummary,14659,1450,0,4864,451.37,0.020%,4.16443,2.60,2.52,639.8
CUS-22_DisplayPolicyList,14659,1223,0,4523,418.96,0.034%,4.16529,4.30,2.05,1058.3
CUS-20_searchCustomer,14659,2852,622,120004,5033.29,0.014%,4.16171,5.79,2.80,1423.6
TOTAL,73295,3642,0,120149,17119.55,2.059%,20.13817,22.25,11.90,1131.6
