"applicationid","applicationno","agentid","updatedate"
"47723","620006418","0000059218","2019-06-17 18:58:11.896"
"48495","620007194","0000059218","2019-06-17 18:58:11.889"
"43228","620001848","0000059218","2019-06-17 18:58:11.888"
"43353","620001972","0000059218","2019-06-17 18:58:11.886"
"44928","620003583","0000059218","2019-06-17 18:58:11.884"
"47046","620005729","0000059218","2019-06-17 18:58:11.881"
"48694","620007396","0000636549","2019-06-17 18:58:11.844"
"48691","620007397","0000059218","2019-06-17 18:58:11.487"
"48690","620007394","0000155726","2019-06-17 18:57:57.179"
"48689","620007388","0000004522","2019-06-17 15:27:56.301"
"48688","620007386","0000016764","2019-06-17 08:57:58.341"
"48687","620007387","0000337497","2019-06-17 08:57:56.015"
"48686","620007385","0000550175","2019-06-17 08:57:33.993"
"48685","620007384","0000642039","2019-06-17 08:57:26.364"
"48683","620007381","0000617126","2019-06-17 08:57:22.046"
"48684","620007383","0000027292","2019-06-17 08:57:22.002"
"48682","620007382","0000528551","2019-06-17 08:57:15.298"
"48681","620007380","0000628055","2019-06-17 08:56:54.197"
"48680","620007379","0000019731","2019-06-17 08:55:34.202"
"48679","620007378","0000016970","2019-06-17 08:55:31.021"
"48678","620007377","0000651735","2019-06-17 08:54:48.724"
"48677","620007376","0000003868","2019-06-17 08:54:41.817"
