applicationid,applicationno,agentid
00030732,610003118,0000016764
00030795,610003404,0000016764
00030852,610004242,0000016764
00030692,610002526,0000016764
00030648,610002209,0000016764
00031213,610005377,0000016764
00030684,610002502,0000631481
00031146,610005307,0000631481
00031282,610005473,0000631481
00031211,610005370,0000631481
00030683,610002501,0000550124
00030799,610003417,0000550124
00030676,610002448,0000550124
00031208,610005365,0000550124
00031235,610005392,0000550124
00030809,610003500,0000658348
00030828,610003620,0000658348
00031212,610005372,0000658348
00030642,610002135,0000658348
00030647,610002217,0000658348
00030675,610002403,0000658348
00030700,610002546,0000658348
00031260,610005457,0000658348
00030776,610003341,0000658348
00030811,610003507,0000661322
00031198,610005358,0000661322
00030710,610002733,0000661322
00031275,610005469,0000661322
00030784,610003347,0000661322
00030826,610003610,0000072616
00031193,610005354,0000072616
00030633,610002049,0000072616
00030702,610002548,0000072616
00030790,610003370,0000002767
00030719,610002871,0000002767
00031132,610005287,0000002767
00031246,610005425,0000002767
00031142,610005296,0000643479
00031124,610005300,0000626786
00031278,610005471,0000626786
00030785,610003366,0000651735
00031154,610005323,0000651735
00030718,610002869,0000651735
00031249,610005438,0000651735
36701,610011454,0000651735
36537,610011288,0000651735
40244,610015042,0000651735
40344,610015144,0000651735
40445,610015244,0000651735
36798,610011552,0000651735
39857,610014633,0000651735
40754,610015538,0000651735
36528,610011275,0000535956
36626,610011379,0000535956
36831,610011584,0000535956
40243,610015040,0000535956
39836,610014619,0000535956
40046,610014847,0000535956
40138,610014926,0000535956
40375,610015161,0000535956
40603,610015392,0000535956
40640,610015443,0000535956
36492,610011251,0000596752
36717,610011470,0000596752
36792,610011546,0000596752
36865,610011623,0000596752
36916,610011668,0000596752
40241,610015027,0000596752
40063,610014844,0000596752
40167,610014947,0000596752
40330,610015120,0000596752
40563,610015356,0000596752
40632,610015420,0000596752
40737,610015528,0000596752
00031169,610005320,0000188924
36721,610011468,0000188924
36557,610011309,0000188924
36498,610011249,0000188924
36897,610011649,0000188924
40665,610015451,0000188924
40441,610015234,0000188924
40334,610015119,0000188924
40158,610014941,0000188924
40530,610015317,0000188924
40519,610015308,0000188924
36522,610011272,0000618245
36615,610011366,0000618245
36709,610011453,0000618245
36793,610011545,0000618245
39769,610014552,0000618245
40269,610015052,0000618245
39875,610014647,0000618245
39945,610014732,0000618245
40058,610014840,0000618245
40149,610014930,0000618245
40362,610015146,0000618245
40449,610015228,0000618245
40562,610015348,0000618245
40651,610015438,0000618245
40757,610015541,0000618245
00030832,610003674,0000531315
00031231,610005400,0000531315
00031122,610005284,0000531315
00030753,610003261,0000531315
36898,610011667,0000531315
40744,610015559,0000531315
40143,610014939,0000531315
40347,610015158,0000531315
39858,610014639,0000531315
40638,610015425,0000531315
00031150,610005316,0000531663
00031258,610005449,0000531663
40372,610015156,0000531663
40740,610015550,0000531663
36797,610011550,0000531663
40272,610015056,0000531663
39966,610014752,0000531663
40075,610014861,0000531663
40556,610015340,0000531663
39845,610014640,0000531663
36927,610011681,0000531663
00031219,610005386,0000610627
00030627,610001967,0000610627
00030786,610003367,0000610627
00030689,610002529,0000610627
00031130,610005286,0000610627
40642,610015437,0000610627
39867,610014658,0000610627
40159,610014938,0000610627
36614,610011360,0000610627
36519,610011267,0000610627
36728,610011479,0000610627
36826,610011579,0000610627
40736,610015526,0000610627
40459,610015242,0000610627
40367,610015152,0000610627
40036,610014821,0000610627
39959,610014743,0000610627
40260,610015045,0000610627
00032382,610006877,0000610627
00032383,610006884,0000610627
00033506,610008092,0000610627
00032484,610006997,0000610627
00033507,610008093,0000610627
00032384,610006886,0000610627
00032485,610006998,0000610627
00031135,610005299,0000632488
00031181,610005346,0000485065
00031227,610005388,0000485065
00030728,610003071,0000485065
00030822,610003560,0000485065
00030833,610003672,0000160267
00030789,610003365,0000160267
00031190,610005352,0000160267
36803,610011575,0000624345
36504,610011271,0000624345
40478,610015264,0000624345
40134,610014920,0000624345
40756,610015540,0000624345
00031157,610005329,0000624345
36830,610011583,0000581453
36895,610011650,0000581453
40262,610015046,0000581453
39878,610014662,0000581453
39977,610014763,0000581453
40139,610014925,0000581453
40447,610015258,0000581453
40571,610015358,0000581453
40649,610015432,0000581453
00030801,610003441,0000656809
00031206,610005373,0000656809
00030843,610003995,0000656809
00031264,610005460,0000656809
00031180,610005340,0000059218
00030806,610003448,0000637425
00030855,610004244,0000637425
00030620,610001827,0000637425
00031125,610005279,0000637425
00030856,610004297,0000637425
00031262,610005458,0000637425
00030632,610002048,0000637425
00030711,610002737,0000637425
00031204,610005367,0000637425
00030662,610002230,0000637425
00030670,610002374,0000195464
00030630,610002005,0000195464
00031188,610005348,0000195464
00030751,610003267,0000195464
00030729,610003070,0000195464
36508,610011285,0000195464
39837,610014620,0000195464
36818,610011571,0000195464
36734,610011487,0000195464
40668,610015459,0000195464
40144,610014937,0000195464
40337,610015122,0000195464
40476,610015261,0000195464
40542,610015333,0000195464
39974,610014760,0000195464
36597,610011349,0000653726
36786,610011541,0000653726
36919,610011675,0000653726
40230,610015017,0000653726
40285,610015071,0000653726
40038,610014823,0000653726
40370,610015154,0000653726
40448,610015225,0000653726
40734,610015524,0000653726
40664,610015455,0000653726
40278,610015064,0000560498
36932,610011687,0000560498
39848,610014654,0000560498
40675,610015464,0000560498
36714,610011460,0000560498
40130,610014919,0000560498
00031228,610005387,0000560498
00031145,610005305,0000560498
36804,610011581,0000014709
36630,610011382,0000003891
36828,610011577,0000003891
40045,610014838,0000003891
40645,610015429,0000003891
00031173,610005336,0000195560
00030624,610001906,0000195560
00030643,610002151,0000195560
00031257,610005448,0000195560
00030775,610003342,0000195560
00030685,610002504,0000195560
00030712,610002774,0000005826
00030831,610003670,0000005826
00031233,610005396,0000005826
00031164,610005302,0000489653
00031263,610005456,0000489653
00030680,610002475,0000489653
00031186,610005351,0000516895
41964,620000519,0000000344
40648,610015433,0000636549
36889,610011640,0000636549
36698,610011452,0000636549
36568,610011319,0000636549
36515,610011264,0000636549
36811,610011561,0000636549
40253,610015034,0000636549
40160,610014942,0000636549
40357,610015138,0000636549
39765,610014547,0000636549
39860,610014638,0000636549
39933,610014717,0000636549
40554,610015338,0000636549
00030760,610003286,0000636549
00031161,610005317,0000636549
00031220,610005380,0000636549
00031178,610005343,0000641289
00030679,610002477,0000641289
00031209,610005369,0000712943
00030847,610004155,0000712943
00031222,610005381,0000712943
00030748,610003270,0000712943
00030681,610002479,0000591982
00031165,610005311,0000591982
00030848,610004151,0000591982
00030749,610003263,0000135063
00030626,610001955,0000135063
00030860,610004858,0000135063
00031126,610005283,0000135063
00030794,610003405,0000135063
00030756,610003276,0000009863
00031127,610005282,0000009863
41458,620000001,0000009863
00031162,610005301,0000102824
00030754,610003288,0000102824
00030861,610004859,0000102824
00031242,610005437,0000102824
00030657,610002237,0000015036
00031160,610005334,0000015036
00030757,610003285,0000015036
00030668,610002370,0000015036
00031230,610005399,0000015036
00032764,610007281,0000015036
00030849,610004161,0000139405
00031155,610005321,0000139405
00031251,610005447,0000139405
00031192,610005341,0000657243
00031247,610005442,0000657243
