applicationid,agentid
47332,0000098610
47921,0000098610
47143,0000098610
46563,0000098610
45032,0000098610
48698,0000098610
48696,0000535956
42492,0000531315
43513,0000531315
43833,0000531315
44273,0000531315
44550,0000531315
44934,0000531315
45313,0000531315
47719,0000531315
47914,0000531315
48214,0000531315
47434,0000531315
48695,0000531315
43130,0000009863
44362,0000009863
44743,0000009863
44832,0000009863
45896,0000009863
46664,0000009863
46856,0000009863
46950,0000009863
47817,0000009863
44933,0000009863
44653,0000009863
43047,0000009863
48504,0000009863
42194,0000624345
43838,0000624345
44364,0000624345
44453,0000624345
44547,0000624345
45987,0000624345
46473,0000624345
47051,0000624345
46566,0000624345
45700,0000624345
47913,0000624345
44073,0000624345
44926,0000624345
42294,0000624345
45223,0000624345
48116,0000624345
47628,0000624345
48693,0000009863
48692,0000624345
42306,0000636549
42400,0000636549
43429,0000636549
42775,0000636549
43907,0000636549
44071,0000636549
44171,0000636549
44463,0000636549
46851,0000636549
46952,0000636549
47525,0000636549
47721,0000636549
42953,0000636549
47814,0000636549
48494,0000636549
46081,0000636549
43538,0000636549
43070,0000059218
43843,0000059218
44021,0000059218
44266,0000059218
44365,0000059218
44655,0000059218
45025,0000059218
45119,0000059218
45416,0000059218
45801,0000059218
46187,0000059218
43636,0000059218
47723,0000059218
48495,0000059218
43228,0000059218
43353,0000059218
44928,0000059218
47046,0000059218
48694,0000636549
48691,0000059218
48690,0000155726
48689,0000004522
48688,0000016764
48687,0000337497
48686,0000550175
48685,0000642039
48683,0000617126
48684,0000027292
48682,0000528551
48681,0000628055
48680,0000019731
48679,0000016970
48678,0000651735
48677,0000003868
